mr,ref
"name[X-name], area[riverside], familyFriendly[no], near[X-near]","X-name is a restaurant located in  riverside near X-near, X-name is not a family-friendly restaurant."
"name[X-name], area[riverside], familyFriendly[no], near[X-near]","Located off the river near X-near, X-name does not allow families."
"name[X-name], area[riverside], familyFriendly[no], near[X-near]",X-name is a non-family-friendly establishment near X-near at the riverside.
"name[X-name], area[riverside], familyFriendly[no], near[X-near]","X-name is a great venue located in riverside near X-near, is not a family-friendly restaurant."
"name[X-name], area[riverside], familyFriendly[no], near[X-near]",X-name at the riverside near X-near is a non-family-friendly establishment.
"name[X-name], area[riverside], familyFriendly[no], near[X-near]",Not family friendly X-name across from X-near
"name[X-name], area[riverside], familyFriendly[no], near[X-near]","X-name, located near X-near, is not family-friendly."
"name[X-name], area[riverside], familyFriendly[no], near[X-near]",X-name is located near X-near in riverside. It is not family-friendly.
"name[X-name], area[riverside], familyFriendly[no], near[X-near]",X-name is not family-friendly. It is located near X-near in riverside.
"name[X-name], area[riverside], familyFriendly[no], near[X-near]",X-name across from X-near no kids
"name[X-name], area[riverside], familyFriendly[yes]",A kid friendly venue named X-name is located on the riverside.
"name[X-name], area[riverside], familyFriendly[yes]","X-name, situated by the river, is child friendly."
"name[X-name], area[riverside], familyFriendly[yes]",X-name is child friendly and is located by the river.
"name[X-name], area[riverside], familyFriendly[yes]",X-name is a family friendly place in the riverside area.
"name[X-name], area[riverside], familyFriendly[yes]",In the riverside area there is a restaurant that is kid friendly named X-name
"name[X-name], area[riverside], familyFriendly[yes]","For a children friendly establishment in the riverside area, try X-name."
"name[X-name], area[riverside], familyFriendly[yes]","The riverside restaurant, X-name is very child friendly and great for adults as well."
"name[X-name], area[riverside], familyFriendly[yes]",X-name is a child-friendly venue located on the riverside.
"name[X-name], area[riverside], familyFriendly[yes]",There is a family-friendly venue in the riverside area called X-name.
"name[X-name], area[riverside], familyFriendly[yes]",At the riverside there is a friendly family place called X-name
"name[X-name], area[riverside], familyFriendly[yes]","Located in riverside area, X-name restaurant is a place to bring the whole family."
"name[X-name], area[riverside], familyFriendly[yes]",There is a riverside restaurant called X-name which is child friendly.
"name[X-name], area[riverside], familyFriendly[yes]",X-name can be found in riverside and is family friendly.
"name[X-name], area[riverside], familyFriendly[yes]","Being beside the river, X-name is a family friendly place."
"name[X-name], area[riverside], familyFriendly[yes]",A family friendly place near the riverside is called X-name.
"name[X-name], area[riverside], familyFriendly[yes]","Visit X-name by the riverside, it is kids friendly."
"name[X-name], area[riverside], familyFriendly[yes]","For a riverside, child friendly environment visit the X-name."
"name[X-name], area[riverside], familyFriendly[yes]",X-name is located near the riverside. It is child friendly.
"name[X-name], area[riverside], familyFriendly[yes]",X-name in the riverside area is child friendly.
"name[X-name], area[riverside], familyFriendly[yes]","X-name, on the riverside, is family-friendly."
"name[X-name], area[riverside], familyFriendly[yes]",X-name is a child friendly place on the riverside.
"name[X-name], area[riverside], familyFriendly[yes]",There is child friendly restaurant in the riverside area named X-name.
"name[X-name], area[riverside], familyFriendly[yes]",X-name is a child-friendly place on the riverside.
"name[X-name], area[riverside], familyFriendly[yes]",The X-name is in the riverside area. It is a family friendly place.
"name[X-name], area[riverside], familyFriendly[yes]",The X-name is kid friendly and is located in the riverside area.
"name[X-name], area[riverside], familyFriendly[yes]","On the riverside, there is a kids friendly venue called X-name."
"name[X-name], area[riverside], familyFriendly[yes]",X-name is kid-friendly and is located at the riverside.
"name[X-name], area[riverside], familyFriendly[yes]",On the riverside there is a child friendly place called X-name.
"name[X-name], area[riverside], familyFriendly[yes]","By the riverside you can find X-name, which is a family friendly place."
"name[X-name], area[riverside], familyFriendly[yes]",In Riverside you will find the kid-friendly restaurant X-name.
"name[X-name], area[riverside], familyFriendly[yes]",If you want to take the children for a meal then try X-name  they provide a child friendly service in their riverside setting .
"name[X-name], area[riverside], familyFriendly[yes]",The X-name is in the riverside area. It is family friendly.
"name[X-name], area[riverside], familyFriendly[yes]","If you are looking for a kids Friendly establishment in the riverside area, try X-name."
"name[X-name], area[riverside], familyFriendly[yes]",Located in the riverside area the X-name is kid friendly.
"name[X-name], area[riverside], familyFriendly[yes]","Located in the riverside area, X-name is child friendly."
"name[X-name], area[riverside], familyFriendly[yes]",A kid friendly place in riverside is X-name.
"name[X-name], area[riverside], familyFriendly[yes]","X-name, located in the riverside area is kid friendly."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",You will find X-name a nice child friendly place. It is located near X-near and riverside.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","X-name is near X-near and is not only riverside, but children friendly as well."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",X-name is a family friendly establishment in the riverside area near the X-near.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","Close-by to X-near is X-name, a child-friendly restaurant by the riverside."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",There is a family friendly place X-name located near X-near in riverside.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",X-name is a children-friendly spot near X-near in Riverside.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","Located near to X-near on the riverside, X-name is a child friendly establishment."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",There is a kid-friendly restaurant in riverside near the X-near named X-name.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",There is a kid friendly place in riverside near X-near named X-name.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","X-name is a family-friendly location in the Riverside area, near the X-near."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","There is a child friendly place called X-name by the riverside, near X-near."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",Family friendly venue near the X-near on the riverside is called X-name.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",Near the riverside is a kids friendly eatery called X-name. There is a X-near close to it as well.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","In terms of kids friendly places, there's X-name in Riverside, near X-near."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","For a family-friendly atmosphere in Riverside, check out X-name near the X-near."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","Near X-near on the riverside, there's a family friendly place named X-name."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","Near X-near, there is a kid friendly place called X-name near the riverside."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",This kids-friendly restaurant called X-name is located in riverside near X-near.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","By the riverside near X-near, there's a kid friendly X-name."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",X-name is a child friendly establishment located near X-near on the riverside.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","X-name, located near to X-near on the riverside, is a child friendly establishment."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","In Riverside, near X-near, there is a family friendly venue called X-name."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",The child-friendly X-name is near to X-near by the riverside.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",Near X-near is the child friendly X-name. It is by the river.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",The child-friendly riverside venue X-name is located near X-near.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","Near X-near, in the riverside area, is a place called X-name, and it is kid friendly."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",X-name is a kids friendly place in the riverside area near X-near.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","Located riverside near X-near,  X-name is children friendly."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",There is a family friendly venue named X-name which is located at the riverside near X-near
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","Near X-near is X-name, which is child friendly and runs along the riverside."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",X-name is a family friendly place in riverside near X-near.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","There's a kid-friendly restaurant named X-name, located near the X-near at the riverside."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",X-name in riverside is child friendly and is located near X-near.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","Located near X-near in the riverside area, X-name is known for its kid-friendly environment."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]","In riverside, near X-near, is a children family place called X-name."
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",Near the X-near is a children friendly place called X-name.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",On the riverside near the X-near there is a kids friendly place called X-name.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",X-name is a family friendly restaurant close to the river near X-near.
"name[X-name], area[riverside], familyFriendly[yes], near[X-near]",There are child friendly establishments such as X-near and X-name near the riverside.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",There is an Chinese coffee shop named X-name near the riverside that has 1 out of 5 in the customer ranking and friendly with kid
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",X-name is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",X-name is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",X-name is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]","X-name, an interesting mix of coffee shop and Chinese cuisine.  A child friendly restaurant and located in a riverside area, it has been rated number 1 by existing customers."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",X-name coffee shop serves Chinese food in the riverside area and is kids friendly but has a customer rating of 1 out of 5
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]","X-name  is a coffee shop that offer Chinese cuisine.  Rated number 1 by existing customers, it is located in a riverside area and welcomes children."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",X-name is an Chinese coffee shop has 1 out of 5 in the customer rating near the riverside and friendly with kid
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",X-name is a coffee shop in the riverside area. It sells Chinese food and has a customer rating of 1 out of 5. It is very children friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]","There is a coffee shop in the riverside area called X-name. It sells Chinese food and is children friendly. Overall, it has a customer rating of 1 out of 5."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]",X-name's a fairly decent coffee shop down at riverside. It has Chinese food and allows kids on the premises.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","If you're looking for a decent, family friendly coffee shop in riverside, then go to X-name. It serves Chinese food there too."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","The X-name coffee shop serves Chinese food,  is kid friendly and has a customer rating of 3 out of 5.  It is located riverside."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","X-name is a coffee shop that serves Chinese food in the Riverside area with a good customer rating of 3 out of 5, it is not child friendly."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]",X-name is a kid friendly coffee shop with a 3 out of 5 rating serving Chinese food located in the Riverside area.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","There is a coffee shop that serves Chinese food called X-name, in the Riverside area, it is not child friendly and has a customer rating of 3 out of 5."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","The kid friendly coffee shop,  X-name,  serves Chinese food and is located riverside.   It has a customer rating of 3 out of 5."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]",X-name is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]",X-name is a coffee shop and also offer Chinese food. We have a customer rating of 5 out of 5. Located in city center. Unfortunately not family friendly
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]","Given a 5 out of 5 satisfaction rate by its customers, X-name is a coffee shop joint known for its Chinese food. This non-family friendly restaurant is located in the city centre."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]",X-name is a coffee shop selling Chinese food. It has a customer rating of 5 out of 5 stars. It is not family friendly and is located in the city centre
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]",coffee shop and Chinese food available at the X-name. Customer rating 5 out of 5. City center based. Not family friendly
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]",There is a coffee shop called X-name that provides Chinese food. It has a customer rating of 5 out of 5 tars  and is located in the city centre. It is not family friendly
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]",X-name is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]","There is a family friendly coffee shop in the city centre that serves Chinese food,  X-name. It has a 5 out of 5 customer rating."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]",X-name is a coffee shop that serves Chinese food in the city centre. It is family friendly and has a 5 out of 5 customer rating.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]",X-name coffee shop serves Chinese food in the city centre. It is of high standard and families are welcome.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]",coffee shop X-name serves Chinese food in a family friendly environment and is of high quality. It is situated in the city centre.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]",X-name is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]",X-name is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 5 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]",X-name coffee shop serves Chinese food in the riverside area. It is highly rated but not family friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]",X-name is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 5 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]",X-name is a highly rated coffee shop providing Chinese food in the riverside area. It is not family friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]",There is a coffee shop on riverside that serves Chinese food X-name. It is not family friendly and is rated 5 out of 5 by customers.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]",X-name is a coffee shop that serves Chinese food on riverside. It has a 5 out of 5 customer rating and is not family friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]",X-name is a Chinese food coffee shop in riverside. It is family friendly and gets a customer rating of 5 out of 5 stars.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","X-name is a coffee shop, which offers Chinese food, and has a customer rating of 5 out of 5. It is located in a riverside area, and is family friendly."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]",X-name is a coffee shop that serves Chinese food. This family friendly eatery in riverside gets 5 out of 5 stars.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","For highly-rated Chinese food in a family-friendly coffee shop setting, X-name in riverside is a great option."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","The highly-rated family-friendly coffee shop, X-name, offers Chinese food in the riverside area."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","Chinese food in the riverside area can be found at the highly-rated family-friendly coffee shop, X-name."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]",X-name a coffee shop in riverside serves family-friendly Chinese food rated 5 out of 5.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]",X-name is a coffee shop serving Chinese food that is rated average and is located in the city centre. X-name is not family friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]","X-name coffee shop serves Chinese food, with an average customer rating, located in the city centre, are not family friendly."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]","X-name,  coffee shop, Chinese food, average customer rating, city centre, non family friendly"
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]",In there city center there is a  coffee shop named X-name that is average rated and serves Chinese food
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]","X-name coffee shop makes Chinese food, maintains an average customer service rating and are located in the city centre,  service is geared towards adult clients  not families."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]",X-name is an average rated coffee shop that serves Chinese food in the city center
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]","X-name,  coffee shop, Chinese food, customer rating average, city centre, no children"
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]","In city centre, X-name is a coffee shop having Chinese cuisine with average customer rating and is family friendly."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]",X-name is a family friendly coffee shop that serves Chinese food. It is located in the city centre and has an average customer rating.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]",X-name is a coffee shop that provides Chinese food. It has an average rating and it located in the city centre. It is family friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]","X-name is a coffee shop providing Chinese food at average quality, it is in the city centre and is family friendly."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]",X-name is a family friendly coffee shop that provides Chinese food located in the city centre with average rating.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]","X-name coffee shop have Chines food, customer rating is average and it is family friendly. It is located in city centre."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]",X-name has an average customer rating in Riverside that provides Chinese food.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]","X-name is a Chinese coffee shop with an average customer rating.  It is in the riverside area, but not family friendly."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]",X-name coffee shop serves average-rated Chinese food. X-name is in the riverside area and is not family friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]",X-name is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is average.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]","X-name, a non-family friendly restaurant in the riverside area, serves average-rated Chinese food."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]",In the riverside area there is a Chinese coffee shop named X-name.  It is not really family friendly and has an average rating from customers.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",X-name is a family friendly Chinese food coffee shop in the riverside area.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]","in the riverside area,  X-name Chinese coffee shop, family friendly, rates average"
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",X-name coffee shop have Chinese food with average customer rating in riverside and also children friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",There is an average  Chinese coffee shop at the riverside that is children friendly called X-name.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]","In riverside, a coffee shop named X-name provide Chinese cuisine with kids friendly environment and average rating."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",X-name is a family friendly Chinese coffee shop located in riverside. This establishment has a customer rating of average.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",X-name is an average Chinese coffee shop by the river that caters to children also.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",X-name is a family friendly coffee shop featuring Chinese cuisine. It is located in riverside and has an AVERAGE customer rating.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",X-name Is a coffee shop that serves Chinese food. It is located at the riverside. It has an average customer rating and it's family friendly
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]","X-name is an average coffee shop in the riverside area, but they also serve Chinese food. X-name is also children friendly."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",Family friendly Chinese food coffee shop in the riverside area try X-name. Very average priced.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]","X-name Chinese coffee shop, family friendly, rates average in the riverside area."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]","X-name,  is a coffee shop eatery where you can dine on Chinese cuisine and has earned an average customer rating, located in the Riverside area and is a family friendly eatery."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]","A kid friendly coffee called X-name is located near the riverside, it serves Chinese food and receives high ratings."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]","X-name is a coffee shop located riverside, which serves Chinese. They have a high customer rating and are family friendly."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]",X-name is a Chinese coffee shop by the riverside with a high customer rating and is kids friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]","X-name is a nice coffee shop near the riverside that is kid friendly, also serves Chinese food and receives high ratings"
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]",The Chinese coffee shop by the riverside called X-name has a high customer rating and is kids friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]",The X-name coffee shop has highly rated Chinese food in the riverside area and is very kid friendly.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]",X-name is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is high.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]",X-name is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is high.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]",The highly rated and kid friendly X-name coffee shop serves Chinese food in the riverside area.
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]","The coffee shop, X-name, serves Chinese food. They are family friendly, located riverside and has a high customer rating."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no]","X-name coffee shop serves Chinese food, is rated low, and is not family-friendly.  It is located in the city centre."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no]","X-name, a Chinese coffee shop, has a low rating, is not family friendly, and is located in the city centre."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no]","Low rate, not family friendly, X-name Chinese coffee shop in the city center."
"name[X-name], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no]","X-name Chinese coffee shop in the city center, low rate, not family friendly"
